street,name,lon,lat,religion,county,subcounty,type
address unknown,tumaini church,36.885792,-1.314423,christian,nairobi city,embakasi,religion
address unknown,taqwa mosque,36.886587,-1.320908,muslim,nairobi city,embakasi,religion
address unknown,p.a.g church,36.874454,-1.311321,christian,nairobi city,makadara,religion
address unknown,st. jude's catholic church,36.870098,-1.314319,christian,nairobi city,embakasi,religion
address unknown,the door,36.869982,-1.313954,christian,nairobi city,embakasi,religion
address unknown,aipcea church,36.872788,-1.314244,christian,nairobi city,embakasi,religion
address unknown,deliverance church,36.874488,-1.316927,christian,nairobi city,embakasi,religion
address unknown,pcea church,36.872955,-1.310909,christian,nairobi city,makadara,religion
address unknown,kwa rueben s.d.a. church,36.871917,-1.313614,christian,nairobi city,embakasi,religion
address unknown,agape kingstone fellowship church,36.863083,-1.314202,christian,nairobi city,makadara,religion
address unknown,lunga lunga mosque,36.870717,-1.311183,muslim,nairobi city,makadara,religion
address unknown,reheboth christian gospel church,36.885146,-1.308462,christian,nairobi city,embakasi,religion
address unknown,mukuru catholic church,36.881366,-1.314378,christian,nairobi city,embakasi,religion
address unknown,jehova witness church,36.870265,-1.313143,christian,nairobi city,embakasi,religion
address unknown,glorious land gospel church,36.887408,-1.318895,christian,nairobi city,embakasi,religion
address unknown,st. mary's parish catholic church,36.881828,-1.314093,christian,nairobi city,embakasi,religion
address unknown,medical missionary of mary(mmm) church,36.881222,-1.313134,christian,nairobi city,embakasi,religion
address unknown,salvation army church,36.882706,-1.313601,christian,nairobi city,embakasi,religion
address unknown,calvary temple,36.888933,-1.324286,christian,nairobi city,embakasi,religion
address unknown,new apostolic church,36.88232,-1.313701,christian,nairobi city,embakasi,religion
address unknown,kingstone mosque,36.864661,-1.311285,muslim,nairobi city,makadara,religion
address unknown,deliverance church eastleigh,36.847145,-1.275628,christian,nairobi city,kamukunji,religion
address unknown,masjid al-huda,36.839716,-1.309896,muslim,nairobi city,starehe,religion
address unknown,christ life liberation,36.779132,-1.315125,christian,nairobi city,kibra,religion
address unknown,kibera all nation,36.790538,-1.31038,christian,nairobi city,kibra,religion
address unknown,good will ministries church,36.857466,-1.263656,christian,nairobi city,mathare,religion
address unknown,children of god generation church,36.855117,-1.26267,christian,nairobi city,mathare,religion
address unknown,glorious celebration centre,36.85609,-1.263572,christian,nairobi city,mathare,religion
address unknown,sinai church of god,36.855785,-1.263667,christian,nairobi city,mathare,religion
address unknown,a.i.p.c.a -4b church,36.855941,-1.263547,christian,nairobi city,mathare,religion
address unknown,redeemed goslpel church,36.849605,-1.264564,christian,nairobi city,mathare,religion
address unknown,hosanah church,36.849027,-1.264376,christian,nairobi city,mathare,religion
address unknown,st marks mathare church,36.850685,-1.264572,christian,nairobi city,mathare,religion
address unknown,el-shaddai church,36.850596,-1.265702,christian,nairobi city,mathare,religion
address unknown,jesus is the way,36.858833,-1.265377,christian,nairobi city,mathare,religion
juja road,new jerusalem holy ghost church,36.853762,-1.265993,christian,nairobi city,kamukunji,religion
address unknown,madarasatu umar alfaruk mosque,36.875414,-1.255668,muslim,nairobi city,mathare,religion
address unknown,hosana blessed church,36.87423,-1.257285,christian,nairobi city,mathare,religion
address unknown,masjidulaqsa islamic centre,36.874972,-1.253669,muslim,nairobi city,mathare,religion
address unknown,evangelical victory church,36.874737,-1.256375,christian,nairobi city,mathare,religion
address unknown,revelation truth,36.851351,-1.262846,christian,nairobi city,mathare,religion
address unknown,church of god,36.853532,-1.262936,christian,nairobi city,mathare,religion
address unknown,p.c.e.a. church,36.851457,-1.262726,christian,nairobi city,mathare,religion
address unknown,st. veronica,36.850904,-1.262676,christian,nairobi city,mathare,religion
eastleigh 1st avenue,st. teresa's catholic church eastleigh,36.847638,-1.267077,christian,nairobi city,kamukunji,religion
address unknown,heritage worship church,36.85237,-1.264375,christian,nairobi city,mathare,religion
address unknown,christ the arrow of deliverance church,36.853492,-1.264382,christian,nairobi city,mathare,religion
address unknown,lives changing center,36.851976,-1.265849,christian,nairobi city,mathare,religion
address unknown,christ the way church,36.851449,-1.265594,christian,nairobi city,mathare,religion
address unknown,roho israel church of god,36.857371,-1.262363,christian,nairobi city,kasarani,religion
address unknown,apostolic fellowship church,36.859249,-1.26103,christian,nairobi city,kasarani,religion
address unknown,mathare mosque,36.856559,-1.261939,muslim,nairobi city,kasarani,religion
address unknown,mowara israel church,36.857513,-1.261913,christian,nairobi city,kasarani,religion
address unknown,israel church,36.856765,-1.261818,christian,nairobi city,kasarani,religion
address unknown,st john evalasting gospel church,36.858912,-1.261365,christian,nairobi city,kasarani,religion
address unknown,hope of glory ministry belivers center,36.856182,-1.261767,christian,nairobi city,kasarani,religion
address unknown,redeemed gospel church,36.857509,-1.26157,christian,nairobi city,kasarani,religion
address unknown,salvation army,36.866867,-1.253458,christian,nairobi city,kasarani,religion
address unknown,mathare north evangelical methodist,36.871674,-1.251063,christian,nairobi city,kasarani,religion
address unknown,soul winning church,36.866649,-1.256337,christian,nairobi city,kasarani,religion
address unknown,narrow gateway restoration,36.868796,-1.254404,christian,nairobi city,kasarani,religion
address unknown,st.stephen catholic church,36.87565,-1.251386,christian,nairobi city,kasarani,religion
address unknown,mathare north sda,36.873606,-1.249804,christian,nairobi city,kasarani,religion
address unknown,house of transformation kasarani,36.912914,-1.22026,christian,nairobi city,kasarani,religion
address unknown,a.i.c skyway,36.958967,-1.277979,christian,nairobi city,njiru,religion
address unknown,seventh day adventist church skyway,36.95806,-1.2789,christian,nairobi city,njiru,religion
address unknown,st. jude catholic church,36.889841,-1.297059,christian,nairobi city,embakasi,religion
address unknown,mountain view sda church,36.73714,-1.261408,christian,nairobi city,westlands,religion
address unknown,upperhill springs s.d.a,36.821349,-1.303891,christian,nairobi city,kibra,religion
address unknown,rosa mystica spiritual center church,36.762474,-1.296796,christian,nairobi city,westlands,religion
address unknown,baps shri swaminarayan mandir,36.822531,-1.268354,hindu,nairobi city,westlands,religion
address unknown,african christian church,36.850414,-1.264333,christian,nairobi city,mathare,religion
address unknown,aipca church,36.844308,-1.263765,christian,nairobi city,mathare,religion
