street,company_name,lon,lat,landuse,county,subcounty,type
unknown,century motor world company,36.8628526,-1.3187228,industrial,nairobi city,starehe,industry
unknown,east african sea foods company,36.8619283,-1.3179181,industrial,nairobi city,starehe,industry
unknown,express kenya ltd,36.8570743,-1.3180392,industrial,nairobi city,starehe,industry
unknown,g4s solutions service industry,36.8592362,-1.3140673,industrial,nairobi city,starehe,industry
unknown,unknown,36.8617916,-1.3113847,industrial,nairobi city,langata,industry
unknown,nabico industry,36.8584809,-1.3151728,industrial,nairobi city,langata,industry
unknown,unknown,36.8606765,-1.3187394,industrial,nairobi city,makadara,industry
unknown,unknown,36.8625788,-1.3193053,industrial,nairobi city,makadara,industry
unknown,keringet company,36.8630117,-1.3183625,industrial,nairobi city,makadara,industry
unknown,paper converters company,36.8612718,-1.3188202,industrial,nairobi city,makadara,industry
unknown,paper industry,36.8578426,-1.3160629,industrial,nairobi city,makadara,industry
unknown,tetra park factory,36.8582244,-1.3134622,industrial,nairobi city,makadara,industry
unknown,vagas company ltd,36.8610989,-1.3174812,industrial,nairobi city,makadara,industry
unknown,daima industry,36.8612817,-1.312998,industrial,nairobi city,makadara,industry
unknown,hydro water well,36.860474,-1.3132018,industrial,nairobi city,makadara,industry
unknown,chicken feeds company,36.8615324,-1.3156348,industrial,nairobi city,makadara,industry
unknown,diesel injections company,36.8618577,-1.3153434,industrial,nairobi city,makadara,industry
unknown,gachanja stores/wholesallers,36.8622124,-1.3149163,industrial,nairobi city,embakasi,industry
unknown,garage,36.8623692,-1.3147654,industrial,nairobi city,njiru,industry
unknown,he-halls company,36.8616954,-1.3154806,industrial,nairobi city,kasarani,industry
unknown,unknown,36.8608465,-1.3139921,industrial,nairobi city,kasarani,industry
unknown,unknown,36.86091,-1.3143459,industrial,nairobi city,starehe,industry
unknown,unknown,36.8610465,-1.3145828,industrial,nairobi city,starehe,industry
unknown,unknown,36.8620771,-1.3150761,industrial,nairobi city,makadara,industry
likoni road,unknown,36.8620102,-1.3151553,industrial,nairobi city,starehe,industry
unknown,unknown,36.861921,-1.3152458,industrial,nairobi city,starehe,industry
unknown,unique touch body company,36.8617764,-1.3154148,industrial,nairobi city,starehe,industry
unknown,southern cross safaris,36.861641,-1.3155658,industrial,nairobi city,starehe,industry
unknown,unknown,36.8634284,-1.3128055,industrial,nairobi city,starehe,industry
unknown,unknown,36.8629793,-1.3131505,industrial,nairobi city,starehe,industry
unknown,unknown,36.8642135,-1.3141591,industrial,nairobi city,starehe,industry
unknown,unknown,36.8640667,-1.3141816,industrial,nairobi city,starehe,industry
unknown,unknown,36.8639125,-1.3142305,industrial,nairobi city,starehe,industry
unknown,unknown,36.8640741,-1.3142443,industrial,nairobi city,starehe,industry
unknown,unknown,36.8641692,-1.314298,industrial,nairobi city,starehe,industry
unknown,unknown,36.8643114,-1.314315,industrial,nairobi city,starehe,industry
unknown,unknown,36.8643748,-1.3143437,industrial,nairobi city,starehe,industry
unknown,unknown,36.8642085,-1.314351,industrial,nairobi city,starehe,industry
unknown,unknown,36.8648577,-1.3143874,industrial,nairobi city,starehe,industry
unknown,unknown,36.8640754,-1.314484,industrial,nairobi city,starehe,industry
unknown,unknown,36.8643053,-1.3144865,industrial,nairobi city,starehe,industry
unknown,unknown,36.8645086,-1.3145023,industrial,nairobi city,starehe,industry
unknown,unknown,36.8637414,-1.3145228,industrial,nairobi city,starehe,industry
unknown,unknown,36.863889,-1.3146002,industrial,nairobi city,starehe,industry
unknown,unknown,36.8649292,-1.3146588,industrial,nairobi city,makadara,industry
unknown,unknown,36.8646514,-1.3146476,industrial,nairobi city,makadara,industry
unknown,unknown,36.8640912,-1.3148034,industrial,nairobi city,makadara,industry
unknown,unknown,36.864574,-1.3148104,industrial,nairobi city,makadara,industry
unknown,unknown,36.8644027,-1.3150293,industrial,nairobi city,makadara,industry
unknown,andy kenya ltd,36.8675052,-1.3170296,industrial,nairobi city,makadara,industry
unknown,bs monhindra company,36.8689321,-1.3176035,industrial,nairobi city,makadara,industry
